Username,Tanggal,Bintang,Komentar
Noch Fendres,2023-01-09,1,Aplikasi force close
Martin Luter Sembiring,2023-01-09,5,Mantap ini aplikasi nya. Terima kasih🙏
Alif Awal Muharawan,2023-01-09,1,kenapa aplikasi sering keluar sendiri?
Ridwan Usman,2023-01-09,3,Smga bermanfaat🙏
Kak Totok,2023-01-09,5,Mantab
Rey Yourine,2023-01-09,2,Sudah lama download n baru di update tapi versi terbaru ini klau dibuka malah otomatis keluar aplikasi.
Umemoto Masashi,2023-01-09,5,Kenapa setelah update malah waktu masuk malah force close?
Dony Saryanto,2023-01-09,2,Baru buka tapi tiba2 langsung keluar sendiri sudah download ulang tetap sama
Beben Sahuri76,2023-01-09,5,Inpo bmkg
Her Per,2023-01-09,1,Sudah buka tapi keluar sendri dari aplikasi.
gus Latip,2023-01-09,1,Kenapa semakin lama semakin buruk G dapat d buka
Andi Riski Ramadan Andik,2023-01-09,3,Kenapa.si keluar2 aja dari apk nya
Daryansah,2023-01-09,5,Aplikasi macet. 9/1/23
Jamiin Cheloep,2023-01-09,4,Sangat membantu
"Ngestyas-,",2023-01-09,1,"dibuka, langsung logout, kesel bgtttt,, udh coba berkali2 tetp gaabisa"
nabil putra,2023-01-09,1,Mohon diperbaiki saat saya menggunakan lokasi saya tiba tiba fc force close keluar tiba tiba
simon petrus,2023-01-09,1,Tak berguna
Nur Afni29,2023-01-09,4,Kok malah suka kmbli sndri si setalah di updatee
Abdul mislam,2023-01-09,1,Aplikasi ini saya tidak bisa mengaxses lokal. /pulau jawa.
Mia S,2023-01-09,3,Habis install ulang karena nggak sengaja kehapus kok malah keluar sendiri terus 😩 baru mau setting ulang lokasi dll. Tolong diperbaiki 🙏🙏
nur cahyo,2023-01-09,5,Sangat membantu
Ardiyan Ihsal nurdiansyah,2023-01-09,4,Kenapa gak bisa di buka
Muhammad Arif ikhtiar,2023-01-09,5,p3riňgatan.vl..G
Reni Issidiki,2023-01-08,1,Tidak bisa dibuka
Suradi Sastro,2023-01-08,1,Kenapa sekarang nggak bisa dibuka
Andri sp,2023-01-08,5,Bagus
Teguh Ridho,2023-01-08,1,Knapa akhir2 ini ga bisa di buka aplikasinya pdhl sdh hapus data Sudah uninstal trus instal lgi Masih tetap ga bisa dibuka
Nicholas Sinaga,2023-01-07,1,Force close saat membuka. Tolong bug nya diperbaiki. Device Samsung A13
Gusti Betty,2023-01-07,1,Sangat bagus untuk melakukan tidak perlu ragu sama cuaca
Andi Mestika,2023-01-07,1,apk suka keluar sendiri
Afifatun Nisa,2023-01-07,3,Kenapa setiap buka langsung out keluar ya??
zamzamil k,2023-01-07,1,"App sering crass, base analisis saya di exception hanling bagian app permission. Mohon segera perbaiki."
Os Osmond,2023-01-07,4,"Mhn menu ditambah lg,biar lbh oke"
Hanif Rahman,2023-01-07,5,Sangat bermanfaat dan informatif👍👍👍👍👍
didik darmansyah,2023-01-07,4,Sangat membantu
Issmart Ali,2023-01-07,1,Diupdate malah gak bisa dibuka
Aldi Wahyudi,2023-01-07,5,Sangat bermanfaat sekali
Pengguna Google,2023-01-07,3,"setelah ada update & upgrade besar2an, app ini jadi bnyk sekali errornya.. buka loading kadang2 lamaa"
Dessy Fajarini,2023-01-07,5,Trims..sangat membantu aplikasi ini
Syamsul,2023-01-07,5,Sangat membantu buat traveling
Liya Defretes,2023-01-06,3,Ini bagaimana sih setelah di update malah keluar sndri apliksinya tolong donk diperbaiki lagi
Wandi Tosan (sang pejuang),2023-01-06,4,"Tolong admin untuk menyetel ulang tanggal, karena tanggal di bmkg selalu telat 1 hari..kejadian hari ini tapi tercatat tanggal kemarin...tolong di benarkan min Terimakasih"
Rofi Al Husna,2023-01-06,5,"Masih banyak bugs, mohon diperbaiki🙏🏻 semangaaaattt😁"
Muhamad Ramadhan 39,2023-01-06,1,Aplikasi ny sering keluar sendiri pas di gunakan
Muhammad Hamka,2023-01-05,5,"Kenapa gk bisa masuk ya, udah masuk tapi keluar lagi, tolong dong kenapa bisa kaya gitu???"
tete dikutetu,2023-01-05,5,❤️❤️❤️❤️❤️❤️❤️❤️❤️
Euis Setiawati,2023-01-05,1,"Apkl dari tgl 4/01/2023 tdk bisa dibuka , sdh instal ulang ttp g bisa dibuka, knp?"
Aditya Gemers,2023-01-05,2,"Cuaca maritim lebih baik versi lama,versi lama tinggal klik gambar langsung muncul 3hari kedepan,versi baru ribet harus ketik nama lokasi dulu, dan kenapa selalu keluar sendiri"
Ab1 Tyx,2023-01-05,1,"PARAH 👎👎 MINTA UPDATE TERUS, UDAH DI UPDATE MALAH GAK BISA KE BUKA, MAAF BINTANG 7 JADI BINTANG 1 👎👎👎👎👎"
Rizqi Setiawan,2023-01-05,3,"Bug masih ada,,gak bisa log in"
ERFIN ANDRIAN,2023-01-05,2,Iki gimana sih tdk bisa dibuka lalu ditambah lodiiiiing nya lama banget tolong dong di di tambah di buka malah keluar sendiri dan tdk respon perbaiki lagiiiiiiiiiii yaaaaaaaa
ario pambudi,2023-01-05,5,"Sangat baik, dan membantu...."
Pak Ares,2023-01-05,1,Pertama bagus lama2 di buka selalu kembali ke menu hp lagi Mengecewakan tolong di perbaiki
Dadang Kurniawan,2023-01-05,1,"Setelah update jadi loading dan force close, masih bagus yang lama tampilan sederhana."
Nila Sartika,2023-01-05,2,Habis di update malah tdk bs digunakan 😭
Ade Irma,2023-01-05,5,Sangat membanti
Anime ID,2023-01-05,3,Tolong di perbaiki baru juga login tapi langsung log out sendiri
Dyah Ayu Megawati,2023-01-05,4,"Habis upgrade versi terbaru kenapa malah ngga bisa di buka aplikasi nya, kalo di buka suka keluar dengan sendiri nya begitu terus"
De Nay,2023-01-05,2,Telat info nya di perbaiki lagi
Parid,2023-01-05,2,"Map,, udh masuk to ke luar lagi, admin tolong perbaiki ya, trimaksih"
Sejarah Dunia,2023-01-05,5,BMKG memang sangat membatu bangett
Masita Marliah,2023-01-05,3,Sering keluar dari aplikasi..gimana ini
Sandi Hasan,2023-01-05,2,Mohon ya lebih akurat lagi ada impormasi di daerah gempa dekat ko gk ada tapi yang jauh trus
Moba Channel,2023-01-04,1,"Maaf saya turunkan bintangnya, setelah update aplikasinya tdk bisa dibuka, force close terus"
Echa Kurnia,2023-01-04,3,Setelah di update informasi gempa malah lebih lambat daripada versi lama.
Nella Didan,2023-01-04,5,Bagus banget bmkg bisa lhat gempa
wike windoyoko,2023-01-04,5,👍
syahril saleh,2023-01-04,1,Di instal langsung keluar lagi
matex manzo,2023-01-04,5,Sangat bermanvaat tuk situasi alam saat ini mantap
Suparman Parman,2023-01-04,5,Bagus
Theo Semuruk,2023-01-04,2,Tidak akurat gempah sudah 2 jam yang lalu belum jg muncul notifikasi.tolong di perbaiki lagi
Ernie Eka,2023-01-04,1,"Kok ga bisa digunakan yaaa ,,keluar sendiri padahal lagi darurat bgini"
dimas zakkarias,2023-01-04,3,Di update malah force close melulu...
Argo Bromo,2023-01-04,5,Cuaca kemarin hari ini dsn lusa serta yg ad....BMKG solusi akurasi
Ahmad Fatham,2023-01-04,4,lumayan
Braja New,2023-01-04,4,Menyanangkan
tono syafruddin,2023-01-04,5,"Aplikasi yg sangat bermanfaat, untuk mengetahui informasi awal gempa bumi"
Si Usup,2023-01-04,5,"Terimakasih sudah membuat aplikasi ini, sangat membantu sekali"
toplek poto,2023-01-04,2,🍉
Tarjono Tarjono,2023-01-04,5,Mantabz.. Jadi terjaga dan tau Gempa
Tian Marcello,2023-01-04,5,Sangat membantu
abror rori,2023-01-04,5,Mantab selalu update jika ada gempa. Salut saya
Sableng123 Sableng123,2023-01-04,5,semoga bgus
Muhammad Rais Ramli78,2023-01-04,5,H E B A A T
Elnaura Azzahra Rilliansyah,2023-01-04,3,"Menambah informasi, sejauh ini lumayan, hanya beberapa kekurangan saja, kurang update data mungkin server sibuk karna ngegarap secara nasional,contoh tgl 3 januari 2023 daerah pangandaran ada gempa dan berasa sumber lain ada beritanya, dari apk ini tidak ada.."
Eko Priyanto,2023-01-04,5,"Sangat terbantu,dalam perencanan perjalanan"
Muhammad Yasin,2023-01-04,5,Oke
Edy AC Liu,2023-01-04,5,Aplikasi yang sangat membantu.. Bagus selalu bisa tau kondisi cuaca
rijal muchtar,2023-01-04,5,Sangat bermanfaat utk informasi
Agus Suristianawati,2023-01-04,5,"Sangat bagus, dan membantu update informasi"
Adhingk Nakpulau,2023-01-04,5,Sangat membantu masyarakat terutama masyarakat nelayan
Lingga Murti,2023-01-03,5,Good
Virall Videos,2023-01-03,5,"Sudah cukup akurat, semoga semakin canggih dan up to date."
Aissyah Nur,2023-01-03,1,Kkkķķ
Iqbal Danil,2023-01-03,5,Ok
Ishak,2023-01-03,5,👍
Suci wardi,2023-01-03,4,Sering bngt minta update😅
Retnoeno Sunandar,2023-01-03,5,Update beritanya
Slamet Riadi,2023-01-03,5,OK mantab cukup membantu
Yelianus Laia,2023-01-03,1,Tlong perbaikin seperti yang biasa
sarmai_ bawah,2023-01-03,4,Mantap
BY EQUES,2023-01-03,5,"aplikasi wajib untuk masyarakat, untuk survey tolong ditambahkan angin kencang beserta dampaknya, jangan cuma banjir,longsor."
Suherdi Suher,2023-01-03,4,Akurat
wayan suprindo,2023-01-03,5,Bagus
Hasan yani,2023-01-03,4,Okelah
Basar Bhetox,2023-01-03,5,Sangat membantu
Kasih Supardi,2023-01-03,5,Sangat membantu untuk mengakses berita cuaca dan gempa
M hadi Prasetyo,2023-01-03,4,Lihat keakuratannya
Reza Noor Serva,2023-01-03,5,Mantap
Roni Damsiki,2023-01-03,5,mantap
Rian Lian,2023-01-03,5,Domba 🐑
Dhika Alhakim,2023-01-03,5,Aplikasi nya sangat berguna
ikong winata,2023-01-03,5,Akurat
Selda Selda,2023-01-03,5,Aplikasi ini sangat membantu sekali
Windi Andinie,2023-01-03,3,Bru bberapa hri update Minta update lagi... Ribet bgt sihh
Surya Tikno,2023-01-03,4,Sangat membantu
Marga Ratu,2023-01-03,5,Membantu...
Setyaji Adjie,2023-01-03,5,Siiipppp
moralito rahim,2023-01-03,5,Infonya akurat
Yadi Supriyadi,2023-01-03,5,Memuaskan
Tirasa Channel,2023-01-03,5,Hari hari gempa
Subadi Badi,2023-01-03,5,"Info BMKG, dapat memberikan saya, informasi yang akurat dan terpercaya mengenai iklim cuaca dan gempa bumi, serta dapat memberi informasi tentang cuaca dan iklim di tempat saya."
Amath Neny,2023-01-03,5,Mantap
Bang Ully,2023-01-03,5,aku suka aplikasi yg akurat mengenai bencana yg ada diindonesia
Mamah Rais Rohayati,2023-01-03,5,Sangat membantu
Yopi Noya,2023-01-03,5,Sangat membantu memberi informasi bagi kami
BAGUS SEDIJANTO,2023-01-03,4,Sebagai pedoman dan informasi setelah ada gempa guna kita bisa melakukan sesuatu
PAPOEA YAHELIMO'77,2023-01-03,5,Mantap
Arjuna Ireng,2023-01-03,5,Terimakasih
Suyadi Affandi,2023-01-03,5,Mantap dan terimakasih infonya
Lalu muhammad Yusron,2023-01-03,5,👍
Suprijadi,2023-01-03,5,Good
Baba Sulhid,2023-01-03,5,Ok
Muammar Khadafi,2023-01-03,5,Mantaapp
Dani Leton,2023-01-03,5,Terima kasih sangat membantu
armand jija,2023-01-03,5,Mantap
Yan keis Sawen,2023-01-03,4,Sangat membantu dengan memberikan informasih kejadian yg terjadi di wilayah Indonesia. Maupun Mancanegara.
Milki Selusi,2023-01-03,4,Cukup membantu dalam memberi informasi terupdet
Agung Purnama,2023-01-03,5,Mantapsss.👍
Dihan Fals,2023-01-03,5,🤞👍
Putri Tersayang,2023-01-03,5,Sangat membantu
Akbar Hanafy,2023-01-03,5,Sangat membantu
eksa satria,2023-01-03,5,sangat bermanfaat..
Rizal Arifin,2023-01-03,5,Sangat Membantu Dalam Mengetahui Info Update Gempa Di Seluruh Indonesia
Din S,2023-01-03,5,Sangat membantu dan mudah digunakan
Siska Jhie,2023-01-03,5,Bagus si cuman kurang lengkap aja informasinya
Fairuz Almachzumi,2023-01-03,3,Like
Rell Niyenk,2023-01-03,4,tulasan di peringatan tidak bisa di zoom permanen.
Serat Andri,2023-01-03,5,Update akurat
Opic Ismail,2023-01-03,5,Informatif
Oppo Po,2023-01-03,4,Bagus
Dani Donal,2023-01-03,5,Bermanfaat skali
Mursali Sali,2023-01-03,5,Jempol
cagia mentary tenkahary,2023-01-03,5,akurat
J Kristiadi,2023-01-03,4,"Sudah cukup baik aplikasi BMKG nya. Namun perlu perbaikan dengan ditambahkan info seperti gunung berapi, info banjir, dan ketinggian air di beberapa tanggul."
Maun Satrio,2023-01-03,5,Siipp
Wong Akbar Discovery,2023-01-03,5,Sangat keren membantu
Ellen Frans,2023-01-03,5,Ok
zoel fikar,2023-01-03,4,"Ada perubahan tampilan, tapi tetap untuk update posisi kota masih belum akurat seperti apk sebelah. Semoga terus membaik. Saya sangat suka fitur peringatan gempa dan cuaca."
Panjol,2023-01-03,4,Bermamfaat sekali
Clara Darrent,2023-01-03,5,Bagus jd tau info terkini ttg bmkg
dani radiansah,2023-01-03,1,"Apk lemot,ga gercep ngasih info nya..."
Abu Hasan Alansari,2023-01-03,5,Insyaallah Bisa digunakan dan bermanfaat
Akhiruddin Ibrahim,2023-01-02,4,Alhamdulilah sangat membantu.
Undia Wa uun,2023-01-02,5,Semoga bermampaat
Dadang Wendra,2023-01-02,5,Membantu jika ada gempa langsung tahu dari mana titik sumber gempa nya
Muhammad Zulkarnain,2023-01-02,2,"Tampilannya sudah oke, cuman ya kurang update sm saya bingung mw cri wilayah saya tinggal. Soalnya skrg di jayapura lg gempa tp kenapa yg muncul di daerah lain. Mending google sih. Mohon dana pengembangan aplikasinya di maksimalin lah jgn masuk kantong"
Irfan Bri,2023-01-02,4,Terbaru
Haris Tolulu,2023-01-02,5,Mantap
Aisyah Aisyah,2023-01-02,5,Mantap
Hamdi Reza,2023-01-02,5,Mantap
Dinar Aulia Sya'ban,2023-01-02,5,Sangat informatif
Sukoco Koco,2023-01-02,5,Tingkat terus aplikasinya sangat baik
Ofeq Moch channel,2023-01-02,3,Bagus
nur rohim,2023-01-02,5,Oke...
ARIF RAHMAN Hakim,2023-01-02,5,Sangat berguna sekali. Dengan aplikasi BMKG akhirnya saya bisa
Ryusaki Dragneel,2023-01-02,5,"Setelah mendownload ini, setiap hari saya di kejutkan dengan gempa bumi👍"
Cidhori,2023-01-02,4,Enakan versi lama. Cuaca maritim bisa dipantau buat beberapa hari kedepan. Versi yg skg cuman bisa liat cuaca hari itu saja.
Asep Setyadi Iskandar,2023-01-02,4,Baguz
Herman Hawir,2023-01-02,5,👍👍👍
tatang juanda,2023-01-02,5,Sangat berguna
Ujang Sukmana,2023-01-02,5,Ok banget ..👍🙂
Muhammad Mulyadi,2023-01-02,5,Sangat membantu
Nir Wana,2023-01-02,5,App yg bagus
bang Fajar F67,2023-01-02,5,Sangat bermanfaat. Update terus ya. Terima kasih.
Roy Gombong,2023-01-02,5,𝙄𝙣𝙛𝙤
RB CS (Rama),2023-01-02,5,Sangat membantu bagi seluruh rakyat Indonesia
Jun latuconsina,2023-01-02,5,Baik
stephanus se,2023-01-02,5,Sangat membantu
Hadiumar Isman,2023-01-01,4,Waspada dalam segala kondisi cuaca menjaga dan lestarikan alam untuk keseimbangan ekosistem
Rusbandi,2023-01-01,5,Ok
Eman Sulaeman,2023-01-01,5,Sangat bermanfaat sekali
Alvin Maulana Ibrahim (Noona),2023-01-01,5,Sangat informatif
Syamat Hardyanto,2023-01-01,5,Informasi lengkap dan cepat
Martha Martha,2023-01-01,5,Mantul👍
all people for you,2023-01-01,1,"mohon maaf gue ksh ""Minus""... cek cuaca di aplikasi dan web tidak akurat, tidak seperti negara asing, selalu akurat... di bilang ""cerah berawan"" malah ""hujan lebat"", untung saja gue antisipasi tidak keluar rumah, kalau tidak sudah basah kuyup. sangat di sayangkan terlalu percaya sama bmkg... bmkg jgn fokus kan jakarta dan sekitarnya yg selalu akurat cuaca nya. indonesia bukan di sana saja."
Dorothea Rahawarin,2023-01-01,5,Good
Jery julius,2023-01-01,5,Mntap
Guntur Imam,2023-01-01,4,"Mohon di perbaiki lagi agar bisa cepat update kalo ada kejadian seperti gempa /kejadian tektonik , terimakasih"
Sheva Pratama,2023-01-01,5,Sangat bagus
indoluxmart,2023-01-01,5,Top
Hps,2023-01-01,5,The best this application
Asu Tenan,2023-01-01,4,Sangat membantu
MUHAMMAD S.PD.,2023-01-01,5,Excellent Apps
SUKITO ITO,2023-01-01,5,Sangat membantu informasi cuaca
pendidikan pendidik dan tenaga kependidikan,2023-01-01,5,Bagus
Zulkarnain Sopian,2023-01-01,5,Berita terbaru cepat sekali
Pedro Magno Texeira,2023-01-01,5,Sangat bermanfaat sekali
kang duda channel,2023-01-01,5,Bagus mantap
Ahmad syahbaz Alamullah,2023-01-01,5,Aplikasi yg sangat membantu😀
Fitri Yadin,2023-01-01,5,Ok
Abdullah Maliki,2023-01-01,5,Thr best
wi hardja,2023-01-01,5,Sangat membantu
Yuli Anto,2023-01-01,5,Mantap
Sylviana Aristyani Putri,2023-01-01,5,"Bismillah… YaAllah…mohon cuaca hujan jangan sampe besok2 terus YaAllah… YaAllah…kasihan anakku cowo masih kecil dan masih takut, belum berani sendiri YaAllah… Aamiin YRA🤲🏻"
Ika Suwarjaya,2023-01-01,5,Setelah update lbh cepat semoga kedepannya lebih canggih lagi
Argo Papua,2023-01-01,5,Oke
tommy salembun,2023-01-01,5,Menarik
arik plending,2023-01-01,4,Ok
Marthin djami KA MANJA,2023-01-01,5,Terima kasih
Agus Wicaksono,2023-01-01,5,Perbanyak layanan
Tri Har,2023-01-01,5,the best
atok suparto,2023-01-01,5,Sangat bermanfaat.... Pertahankan terus....
Frengky Samuel Apituley,2023-01-01,5,Good
endang surmen,2023-01-01,4,Kadang tidak otomatis berpindah lokasi
Sumarlin Rachmat,2023-01-01,5,Sangat membantu
Om Jost,2023-01-01,5,Cocok kok boz
Supri Adi,2023-01-01,4,Sangat bagus dan tepat hanya jarak pusat gempa yang meragukan
heri k,2023-01-01,5,👍👍
Handika Pangestu Sutanto,2023-01-01,5,Aplikasi Ini Bagus Sekali 👍
Heroe Chairilanwar,2023-01-01,5,Good
HSA,2023-01-01,5,Membantu perencanaan di outdoor
Giat Arto Utomo,2023-01-01,5,"Mantap,, tp masih perlu d tingkatkan lagi"
I PUTU ADHI NEGARA,2023-01-01,5,Terima kasih.... Informasi cuacanya up to date
Mang Ghodex,2023-01-01,5,Top bgt
Julius Afandi,2023-01-01,5,Cukup akurat
MUHAMMAD YANIS,2023-01-01,5,👍
ujang Mahmudin,2023-01-01,5,Good
Painem Bejo,2023-01-01,5,👍🏻👍🏻👍🏻
Viqy Fazrian,2023-01-01,4,"Tolong untuk maps Citra satelitnya langsung di zoom ke lokasi kita.. agar kita dengan mudah mencari lokasi kita, jadi nggak perlu zoom sendiri.. sama tolong menu siaran pers nya dimunculkan kembali.. Terimakasih :)"
Aditya Akbar,2022-12-31,1,Kurang update laporan cuacanya
ismanto adi,2022-12-31,3,coba dulu
Fariz A,2022-12-31,5,good:)
Jajuli Aja,2022-12-31,5,Semoga dapat bermanfat memberikan informasi yg akurat
Happy Wirawibawa,2022-12-31,5,Bagus Trimakasih
Delmayatis Atis,2022-12-31,5,Aplikasi sangat membantu bgus bangat
temondol pramono,2022-12-30,5,Andalan utama seperti disarankan RI 1 utk lebih percaya
Agus Rustaman,2022-12-30,5,Sangat membantu informasi gempa bumi
AGOENK MBAH'E,2022-12-30,5,Bisa mengikuti beritanya dan bisa ikut berpartisipasi dalam membantu saudara2 kita yang kena bencana alam.
vorpal king,2022-12-29,1,Gps tidak terbaca walau sudah diaktifkan.
Bayu Soundsystem,2022-12-29,1,Di BMKG cerah eh ternyata hujan .
Hendra Gunawan,2022-12-29,5,Good
SURYADI,2022-12-29,5,Aminnnm
Ervin Kecrok,2022-12-29,5,ᥬ😄᭄
Moh Hasyin AS,2022-12-29,5,AQ suka infonya
Tatang Suhendar,2022-12-28,5,Good
Widya Ningsih,2022-12-28,5,Sangat membantu
Pudji Setya,2022-12-28,3,Ya ok mengikuti/menggunakan
Musdalifah Ifah,2022-12-27,5,Semoga brrmanfaat
FaSa FauZi,2022-12-27,5,Good..👍🏻👍🏻👍🏻
Made Angga,2022-12-26,5,"Layanan ini sangat membantu memudahkan cara kerja,saya sangat senang adanya layanan ini."
Yus Djami,2022-12-26,3,Mohon
Duto Sadono,2022-12-26,1,mending gak instal ...versi baru ..parah abiis...
Nurlina Ali,2022-12-25,5,Aplikasi ini memberikan kemudahan utk lebih cepat mengetahui keadaan cuaca
Dimin Putraflores,2022-12-25,5,Good
Robin Muhammad,2022-12-25,3,Lumayan
BUYUNG,2022-12-25,3,"Karena ini informasi sangat penting langsung dari yg berkompeten maka,tolong disempurnakan kekurangan yg ada."
Erens Smith Rafael,2022-12-25,1,Gak jelas masa kebanyakan info umum padahal yang di cari sesui GPS
Oke Widodo S,2022-12-25,4,Info Arah Angin dimenu NATARU bukan MENUJU tapi DARI. Bertolak belakang dengan data/fakta . Lihat peraturan pengamatan cuaca untuk arah angin BMKG.
Aselole,2022-12-25,4,"Ikon notifikasi cuma putih,segera perbaiki menjadi logo bmkg biar bagus"
Mister Galing,2022-12-24,2,"Loading lama, padahal baru update"
Eninop chanel eninop,2022-12-24,5,Top pisan
Muhammad Ansori,2022-12-24,3,Yuk pakekini BMKG
Kang Baser,2022-12-23,2,Setelah diperbaiki malah ndak bisa dibuka di android 10 padahal jaringan bagus
Dadan Gausikin,2022-12-23,3,Lemot infonya
Nur Faizah MTsN 2 Gk,2022-12-23,5,Good
Alan Herdian,2022-12-23,1,Tampilan barunya kok makn aneh.. mendngan BMKG versi dlu.. ga pake2 animasi langsung buka.. klo skarng jadi lama.. tampilannya jga jadi mkn tmbh kaya bukan aplikasi pro.. kaya buat maen2.. animadi dngn gambar kartoon. Maaps jga msh yg global bukan yg hi-brid..
Taufik Hidayah,2022-12-22,5,Wow aplikasi ini penting untuk mendeteksi gempa 😀👍
Riki Ramdhani,2022-12-22,5,Mantap
Keira Adzkia,2022-12-22,5,👍
Wiki Suta,2022-12-22,5,salah satu aplikasi pemerintah yg berguna sekali
Suratno M.S,2022-12-22,1,"Aplikasinya tidak memberikan info, hari ini ada info gempa di kuningan, tp nihil berita di info BMKG"
Devi Ratna Ningsih,2022-12-22,5,Semoga sukses ya
Ujang Hilman,2022-12-21,1,Sayah dengan aplikasih ini
Supriyatna Nana,2022-12-21,5,Dicoba dulu
Abdullah Abdullah,2022-12-21,5,Bagus bermanfaat
Gianni Christian Tirtana,2022-12-21,5,Baguss
Septiyaningrum,2022-12-20,3,"Aplikasi macet² dan tidak bisa dibuka, jadi susah untuk tau informasi saat itu juga"
delwa wadel,2022-12-20,1,Info yang masuk pasca gempa lambat tolong di perbaiki agar info pasca gempa cepat masuk
Edy Moopeet,2022-12-20,5,Jln trus
Ling Ling,2022-12-19,5,"Baru download udh kena gejala titik lokasi yg di atur manual suka bergeser, gps error mental ke mana mana. Itu mic buat apa y binggung gue"
Andi Sinrang,2022-12-18,5,Mantap
Sukma Sukma,2022-12-17,1,"Susah terbuka,lalot bngt tolong diperbaiki 🥴"
gas migas,2022-12-16,5,Biismillaaag semoga ketaui jarak nya amiin amiin
Volksa Camelia,2022-12-16,5,"Tolong tingkatkan lagi radar cuacanya, agar dapat memberikan perkiraan cuaca secara akurat dan tepat sasaran walaupun, tidak menyentuh 100% dikarenakan situasi sekarang cuaca gak jelas, terutama untuk yang bekerja jauh, anak sekolah, dll hal itu sangat fatal sekali, apalagi kalau tiba-tiba hujan, khususnya buat anak sekolah, rawan sakit. BMKG memang sudah dapat zona bebas korupsi, tapi kalau ditambah zona beteknologi mutakhir dan canggih terhadap khususnya cuaca, dan bencana alam, lebih baik kan"
Aprilia ick,2022-12-16,5,Mantap
Anak Majelis,2022-12-16,5,SAYA MEMBUTUKAN B M K G
Muh Ruhyat,2022-12-16,5,Google
Khanza Arsyila Kurniawan,2022-12-16,5,App ini sangat berguna bgt buat liat gempa bumi nya
Ydk 25,2022-12-16,5,Jos
Yanuar Ade,2022-12-16,5,Sangat berguna 👍
aldi pojok,2022-12-16,5,Aplikasinya bagus
gio nugroho,2022-12-16,1,Apa ini apk ini blm support android 12? Sering fc klo buka apk ini
Eko Purnomo,2022-12-16,5,Cepat n terpecaya
Prayoga Dewangkara,2022-12-15,5,membantu dalam melihat situasi terkini
Ady putra jayady,2022-12-15,5,Sangat baik klau bisa turun kan hujan di daerah sumbawa kec palampang spayung luar karna kami tdk pernh hujan kekeringan kmi lagi bertani aplikasi nya sangat membantu
Rangga Rasya,2022-12-15,1,Gak bisa offline tolong perbaiki lagi
Sayko Omji,2022-12-15,5,Sangat membantu
055_MIB_Adam Zuhruf ananda farendra,2022-12-15,5,"Tolong tambahkan di setiap kecamatan ataupun desa agar prakiraan semakin akurat, dan juga tambahkan sistem pelaporan untuk mengadukan dampak dari suatu cuaca atau bisa dikatakan bencana misal banjir agar lebih mudah dan cepat untuk meminta bantuan ke tim sar atau tim penyelamat ketika banjir ataupun longsor agar lebih cepat penanganannya, dan juga mungkin untuk pelaporan ini bisa di akses meskipun jaringan tidak ada atau offline, karena ketika ada bencana biasanya jaringan tidak ada"
fatur rahman haribowo,2022-12-14,5,semoga bermanfaat buat umat manusia
anggi anggraini,2022-12-14,4,👌🏻
DQ Ramdani,2022-12-14,3,Kadang susah dibuka harus relog terus
laily hikmah,2022-12-14,4,Gak ada notifikasi utk peringatan jdi agak repot mest buka app dlu baru tau.
Oviq,2022-12-14,2,"Masih bagusan yang lama... Tolong kembalikan saja ke aplikasi lama, kalau yang baru belum sempurna di uji coba saja 1 tahun sambil di sempurnakan mana yang kurang dari aplikasi yang lama tinggal nambah saja tapi jang dirubah... Ditambah pada menunya saja... Mohon di pertimbangkan... Ini sudah terlalu lama kita menunggu sejak versi terbaru... 🙏"
Rendy Sitorus,2022-12-14,5,APK YG SANGAT BAGUS SEKALI TERIMAKASIH YG TELAH MEMBUAT APK INI GOOD 👍👍👍
ADIAZIASIN (adia),2022-12-14,5,Ok
Alip FXG,2022-12-14,2,Abis diupdate kok malah lemot.....buka aplikasi loadingnya lamaaaaaaaa banget
Mahbub Hendro Kartiko,2022-12-13,1,Penipu
Ralvin Dasinangon,2022-12-13,5,Sangat membantu dlm mengetahui keadaan alam saat ini
Ridwan saputra,2022-12-13,5,"Semakin baik, tampilan fresh serta kompleks setiap informasi,.."
Muhammad Bima,2022-12-13,1,Di update bukannya makin bagus malah makin gak jelas gak bisa di buka lagi cmn layar putih doang....hapus ya 😏
Iis Riznaini,2022-12-13,1,👎😩...
Muh Nasib,2022-12-13,2,Baru coba
Putu Adhi,2022-12-13,1,"Telat infonya, klo ada tsunami, air laut sdah depan rumah baru masuk infonya."
Inge Su,2022-12-13,3,"Giliran gempa yg jauh jauh notif msk trs !! Berulang bahkan, giliran gempa di yg dkt ga ada notif yg masuk !! Payah deh"
Japang Jippy,2022-12-13,5,"Sangat bagus bmkg ada jadi tau biar klo gempa berapa koma berapa jadi ya bisa liat di bmkg aja ya kan teman teman bagi yang beluk download bmkg biar tau berapa koma berapa klo gempa sama biar tau cuaca Nya berapa celcius sekian dri saya,terima kasih"
Muh Fadhil,2022-12-13,1,"Apk dibenerin lah,sering error dah,pas dibuka malah keluar sendiri,padahal memory hp masih banyak,emang dari sananya yang error berarti"
Ad Dheen,2022-12-13,5,Best
Sugeng An,2022-12-13,5,Semakin bagus dan responsif app nya
kaurin chanell,2022-12-13,5,ok
yara bf lombok,2022-12-13,5,👍👍
effiee lovely,2022-12-13,2,etzUyA
